target_id	length	eff_length	est_counts	tpm
lcl|CP000514.1_cds_ABM17142.1_34	753	258.008	419	337.122
lcl|CP000514.1_cds_ABM17143.1_35	1053	537.161	618	238.831
lcl|CP000514.1_cds_ABM17144.1_36	1446	934.414	1029	228.603
lcl|CP000514.1_cds_ABM17145.1_37	2082	1581.99	1135	148.936
lcl|CP000514.1_cds_ABM17146.1_38	1095	587.907	509	179.728
lcl|CP000514.1_cds_ABM17147.1_39	1404	897.189	609	140.909
lcl|CP000514.1_cds_ABM17148.1_40	1302	797.138	581	151.304
lcl|CP000514.1_cds_ABM17149.1_41	936	432.092	379	182.083
lcl|CP000514.1_cds_ABM17150.1_42	504	78.2647	355	941.606
lcl|CP000514.1_cds_ABM17151.1_43	1017	508.939	584	238.207
lcl|CP000514.1_cds_ABM17152.1_44	1218	708.081	545	159.779
lcl|CP000514.1_cds_ABM17153.1_45	573	117.911	109	191.901
lcl|CP000514.1_cds_ABM17154.1_46	927	423.255	313	153.514
lcl|CP000514.1_cds_ABM17155.1_47	828	327.274	204	129.397
lcl|CP000514.1_cds_ABM17156.1_48	774	277.208	228	170.74
lcl|CP000514.1_cds_ABM17157.1_49	834	332.925	234	145.907
lcl|CP000514.1_cds_ABM17158.1_50	318	36.7159	23	130.041
lcl|CP000514.1_cds_ABM17159.1_51	456	57.8673	177	634.961
lcl|CP000514.1_cds_ABM17160.1_52	540	97.2824	276	588.954
lcl|CP000514.1_cds_ABM17161.1_53	2046	1540.98	1310	176.474
lcl|CP000514.1_cds_ABM17162.1_54	252	42.1429	7	34.4811
lcl|CP000514.1_cds_ABM17163.1_55	1323	811.929	773	197.637
lcl|CP000514.1_cds_ABM17164.1_56	231	49.6	103	431.084
lcl|CP000514.1_cds_ABM17165.1_57	1698	1190.89	862	150.26
lcl|CP000514.1_cds_ABM17166.1_58	387	37.1437	31	173.254
lcl|CP000514.1_cds_ABM17167.1_59	687	202.119	265	272.173
lcl|CP000514.1_cds_ABM17168.1_60	1347	831.241	867	216.52
lcl|CP000514.1_cds_ABM17169.1_61	1125	613.416	562	190.19
lcl|CP000514.1_cds_ABM17170.1_62	1584	1065.18	854	166.434
lcl|CP000514.1_cds_ABM17171.1_63	597	134.414	136	210.04
lcl|CP000514.1_cds_ABM17172.1_64	888	385.225	290	156.275
lcl|CP000514.1_cds_ABM17173.1_65	204	50.3333	1	4.12431
lcl|CP000514.1_cds_ABM17174.1_66	750	255.336	270	219.512
lcl|CP000514.1_cds_ABM17175.1_67	642	166.598	137	170.709
lcl|CP000514.1_cds_ABM17176.1_68	1107	598.334	447	155.085
lcl|CP000514.1_cds_ABM17177.1_69	921	417.416	366	182.02
lcl|CP000514.1_cds_ABM17178.1_70	657	178.097	210	244.776
lcl|CP000514.1_cds_ABM17179.1_71	1203	695.5	571	170.43
lcl|CP000514.1_cds_ABM17180.1_72	2475	1972.06	1358	142.951
lcl|CP000514.1_cds_ABM17181.1_73	879	376.481	274	151.083
lcl|CP000514.1_cds_ABM17182.1_74	366	34.2232	97	588.38
lcl|CP000514.1_cds_ABM17183.1_75	819	318.492	480	312.86
lcl|CP000514.1_cds_ABM17184.1_76	1176	669.241	586	181.77
lcl|CP000514.1_cds_ABM17185.1_77	1203	693.818	541	161.867
lcl|CP000514.1_cds_ABM17186.1_78	396	38.5958	26	139.843
lcl|CP000514.1_cds_ABM17187.1_79	1431	928.177	641	143.362
lcl|CP000514.1_cds_ABM17188.1_80	1413	905.728	735	168.46
lcl|CP000514.1_cds_ABM17189.1_81	363	33.7741	145	891.231
lcl|CP000514.1_cds_ABM17190.1_82	2103	1598.3	1232	160.015
lcl|CP000514.1_cds_ABM17191.1_83	1413	904.922	967	221.831
lcl|CP000514.1_cds_ABM17192.1_84	1053	540.296	672	258.193
lcl|CP000514.1_cds_ABM17193.1_85	639	164.316	188	237.511
lcl|CP000514.1_cds_ABM17194.1_86	1365	853.353	556	135.255
lcl|CP000514.1_cds_ABM17195.1_87	780	282.633	250	183.621
lcl|CP000514.1_cds_ABM17196.1_88	1989	1496.7	1264	175.315
lcl|CP000514.1_cds_ABM17197.1_89	2244	1731.69	1568	187.967
lcl|CP000514.1_cds_ABM17198.1_90	1194	691.261	433	130.033
lcl|CP000514.1_cds_ABM17199.1_91	471	63.3993	56	183.362
lcl|CP000514.1_cds_ABM17200.1_92	1305	800.684	593	153.745
lcl|CP000514.1_cds_ABM17201.1_93	1410	905.893	613	140.472
lcl|CP000514.1_cds_ABM17202.1_94	390	37.641	46	253.69
lcl|CP000514.1_cds_ABM17203.1_95	1224	717.545	640	185.156
lcl|CP000514.1_cds_ABM17204.1_96	1287	776.455	635	169.771
lcl|CP000514.1_cds_ABM17205.1_97	303	36.0252	15	86.4354
lcl|CP000514.1_cds_ABM17206.1_98	1005	500.303	414	171.781
lcl|CP000514.1_cds_ABM17207.1_99	3549	3058.52	1977	134.184
lcl|CP000514.1_cds_ABM17208.1_100	546	101.132	65	133.423
lcl|CP000514.1_cds_ABM17209.1_101	414	44.641	81	376.667
lcl|CP000514.1_cds_ABM17210.1_102	273	39.6939	155	810.615
lcl|CP000514.1_cds_ABM17211.1_103	315	36.9565	132	741.463
lcl|CP000514.1_cds_ABM17212.1_104	513	83.1984	152	379.258
lcl|CP000514.1_cds_ABM17213.1_105	666	185.33	231	258.746
lcl|CP000514.1_cds_ABM17214.1_106	657	178.097	143	166.681
lcl|CP000514.1_cds_ABM17215.1_107	1044	535.319	515	199.711
lcl|CP000514.1_cds_ABM17216.1_108	891	388.151	370	197.883
lcl|CP000514.1_cds_ABM17217.1_109	1761	1264.92	896	147.045
lcl|CP000514.1_cds_ABM17218.1_110	981	476.443	488	212.625
lcl|CP000514.1_cds_ABM17219.1_111	1284	779.301	692	184.335
lcl|CP000514.1_cds_ABM17220.1_112	426	47.9571	98	424.209
lcl|CP000514.1_cds_ABM17221.1_113	1392	884.032	684	160.618
lcl|CP000514.1_cds_ABM17222.1_114	570	115.999	263	470.659
lcl|CP000514.1_cds_ABM17223.1_115	1050	539.749	453	174.226
lcl|CP000514.1_cds_ABM17224.1_116	753	258.008	182	146.435
lcl|CP000514.1_cds_ABM17225.1_117	1467	956.424	621	134.787
lcl|CP000514.1_cds_ABM17226.1_118	792	293.734	310	219.086
lcl|CP000514.1_cds_ABM17227.1_119	282	39.0952	89	472.577
lcl|CP000514.1_cds_ABM17228.1_120	558	108.519	317	606.404
lcl|CP000514.1_cds_ABM17229.1_121	1713	1203.48	1049	180.944
lcl|CP000514.1_cds_ABM17230.1_122	1329	816.659	626	159.126
lcl|CP000514.1_cds_ABM17231.1_123	666	185.33	256	286.749
lcl|CP000514.1_cds_ABM17232.1_124	534	93.9157	213	470.812
lcl|CP000514.1_cds_ABM17233.1_125	1710	1210.55	865	148.334
lcl|CP000514.1_cds_ABM17234.1_126	741	247.226	252	211.598
lcl|CP000514.1_cds_ABM17235.1_127	354	33.0754	38	238.498
lcl|CP000514.1_cds_ABM17236.1_128	1356	842.085	520	128.19
lcl|CP000514.1_cds_ABM17237.1_129	228	46.6	2	8.90945
lcl|CP000514.1_cds_ABM17238.1_130	2361	1856.18	1288	144.046
lcl|CP000514.1_cds_ABM17239.1_131	333	34.8182	77	459.083
lcl|CP000514.1_cds_ABM17240.1_132	285	38.0429	109	594.785
lcl|CP000514.1_cds_ABM17241.1_133	1320	817.217	725	184.165
lcl|CP000514.1_cds_ABM17242.1_134	1368	863.118	597	143.586
lcl|CP000514.1_cds_ABM17243.1_135	3123	2620.53	1541	122.073
lcl|CP000514.1_cds_ABM17244.1_136	909	405.811	450	230.195
lcl|CP000514.1_cds_ABM17245.1_137	444	53.5961	126	488.027
lcl|CP000514.1_cds_ABM17246.1_138	801	301.867	211	145.102
lcl|CP000514.1_cds_ABM17247.1_139	1311	805.42	658	169.594
lcl|CP000514.1_cds_ABM17248.1_140	627	155.275	394	526.747
lcl|CP000514.1_cds_ABM17249.1_141	852	350.167	355	210.455
lcl|CP000514.1_cds_ABM17250.1_142	609	142.554	220	320.368
lcl|CP000514.1_cds_ABM17251.1_143	1191	681.097	716	218.228
lcl|CP000514.1_cds_ABM17252.1_144	2241	1734.07	1295	155.028
lcl|CP000514.1_cds_ABM17253.1_145	924	420.376	425	209.874
lcl|CP000514.1_cds_ABM17254.1_146	516	84.6869	403	987.86
lcl|CP000514.1_cds_ABM17255.1_147	1269	757.536	684	187.439
lcl|CP000514.1_cds_ABM17256.1_148	1458	948.782	876	191.666
lcl|CP000514.1_cds_ABM17257.1_149	993	488.443	525	223.127
lcl|CP000514.1_cds_ABM17258.1_150	456	57.8673	30	107.621
lcl|CP000514.1_cds_ABM17259.1_151	306	37.248	6	33.4391
lcl|CP000514.1_cds_ABM17260.1_152	585	125.842	117	193.005
lcl|CP000514.1_cds_ABM17261.1_153	672	190.015	161	175.891
lcl|CP000514.1_cds_ABM17262.1_154	636	162.01	256	328.024
lcl|CP000514.1_cds_ABM17263.1_155	2853	2361.33	1740	152.967
lcl|CP000514.1_cds_ABM17264.1_156	606	140.417	222	328.201
lcl|CP000514.1_cds_ABM17265.1_157	816	315.736	382	251.157
lcl|CP000514.1_cds_ABM17266.1_158	1107	604.37	498	171.054
lcl|CP000514.1_cds_ABM17267.1_159	777	280.017	278	206.095
lcl|CP000514.1_cds_ABM17268.1_160	1071	561.633	584	215.857
lcl|CP000514.1_cds_ABM17269.1_161	2271	1768.01	1315.88	154.503
lcl|CP000514.1_cds_ABM17270.1_162	1302	788.459	818.25	215.434
lcl|CP000514.1_cds_ABM17271.1_163	387	37.1437	63.8192	356.675
lcl|CP000514.1_cds_ABM17272.1_164	894	391.039	409	217.125
lcl|CP000514.1_cds_ABM17273.1_165	1107	601.408	686	236.789
lcl|CP000514.1_cds_ABM17274.1_166	408	42.7875	44	213.473
lcl|CP000514.1_cds_ABM17275.1_167	1368	858.92	656	158.547
lcl|CP000514.1_cds_ABM17276.1_168	1878	1373.51	1128	170.484
lcl|CP000514.1_cds_ABM17277.1_169	666	185.33	254	284.508
lcl|CP000514.1_cds_ABM17278.1_170	369	34.9387	90	534.74
lcl|CP000514.1_cds_ABM17279.1_171	2514	1990.42	1417	147.786
lcl|CP000514.1_cds_ABM17280.1_172	1269	764.643	778	211.216
lcl|CP000514.1_cds_ABM17281.1_173	1299	787.63	783	206.37
lcl|CP000514.1_cds_ABM17282.1_174	861	358.724	376	217.587
lcl|CP000514.1_cds_ABM17283.1_175	993	488.443	463	196.777
lcl|CP000514.1_cds_ABM17284.1_176	1365	863.274	872	209.688
lcl|CP000514.1_cds_ABM17285.1_177	2676	2172.96	1731	165.368
lcl|CP000514.1_cds_ABM17286.1_178	663	183.028	239	271.074
lcl|CP000514.1_cds_ABM17287.1_179	519	85.9801	287	692.932
lcl|CP000514.1_cds_ABM17288.1_180	1740	1239.9	947	158.552
lcl|CP000514.1_cds_ABM17289.1_181	849	347.268	447	267.208
lcl|CP000514.1_cds_ABM17290.1_182	756	260.703	395	314.527
lcl|CP000514.1_cds_ABM17291.1_183	411	43.8015	10	47.3934
lcl|CP000514.1_cds_ABM17292.1_184	396	38.5958	14	75.3
lcl|CP000514.1_cds_ABM17293.1_185	798	299.129	336	233.178
lcl|CP000514.1_cds_ABM17294.1_186	2355	1855.53	1272	142.307
lcl|CP000514.1_cds_ABM17295.1_187	594	132.169	193	303.133
lcl|CP000514.1_cds_ABM17296.1_188	1119	604.698	483	165.812
lcl|CP000514.1_cds_ABM17297.1_189	2097	1583.15	990	129.814
lcl|CP000514.1_cds_ABM17298.1_190	1707	1194.48	766	133.124
lcl|CP000514.1_cds_ABM17299.1_191	756	260.703	167.931	133.718
lcl|CP000514.1_cds_ABM17300.1_192	1545	1043.98	717.912	142.754
lcl|CP000514.1_cds_ABM17301.1_193	441	52.6355	500	1971.96
lcl|CP000514.1_cds_ABM17302.1_194	528	90.8096	425	971.547
lcl|CP000514.1_cds_ABM17303.1_195	1290	775.949	665	177.908
lcl|CP000514.1_cds_ABM17304.1_196	585	125.842	476	785.215
lcl|CP000514.1_cds_ABM17305.1_197	684	199.76	203	210.957
lcl|CP000514.1_cds_ABM17306.1_198	633	159.748	170	220.913
lcl|CP000514.1_cds_ABM17307.1_199	321	35.8776	7	40.5025
lcl|CP000514.1_cds_ABM17308.1_200	240	47.3684	1	4.38246
lcl|CP000514.1_cds_ABM17309.1_201	468	62.0091	34	113.823
lcl|CP000514.1_cds_ABM17310.1_202	243	47.95	7	30.3051
lcl|CP000514.1_cds_ABM17311.1_203	459	58.968	143	503.415
lcl|CP000514.1_cds_ABM17312.1_204	438	51.5344	44	177.24
lcl|CP000514.1_cds_ABM17313.1_205	378	36.1205	44	252.875
lcl|CP000514.1_cds_ABM17314.1_206	243	47.95	64	277.075
lcl|CP000514.1_cds_ABM17315.1_207	1380	868.875	926.5	221.358
lcl|CP000514.1_cds_ABM17316.1_208	3822	3308.11	2040.5	128.045
lcl|CP000514.1_cds_ABM17317.1_209	636	162.01	156	199.89
lcl|CP000514.1_cds_ABM17318.1_210	267	42.6923	114.5	556.753
lcl|CP000514.1_cds_ABM17319.1_211	735	242.17	423	362.599
lcl|CP000514.1_cds_ABM17320.1_212	948	443.925	398.5	186.348
lcl|CP000514.1_cds_ABM17321.1_213	822	321.399	238.5	154.046
lcl|CP000514.1_cds_ABM17322.1_214	1026	513.859	463	187.044
lcl|CP000514.1_cds_ABM17323.1_215	492	72.6314	88	251.516
lcl|CP000514.1_cds_ABM17324.1_216	579	121.876	70	119.231
lcl|CP000514.1_cds_ABM17325.1_217	1140	634.958	464.5	151.861
lcl|CP000514.1_cds_ABM17326.1_218	900	396.926	209	109.306
lcl|CP000514.1_cds_ABM17327.1_219	831	330.021	273.5	172.037
lcl|CP000514.1_cds_ABM17328.1_220	762	266.211	197.5	154.009
lcl|CP000514.1_cds_ABM17329.1_221	1149	635.624	490.5	160.194
lcl|CP000514.1_cds_ABM17330.1_222	570	115.999	70.5	126.165
lcl|CP000514.1_cds_ABM17331.1_223	786	288.272	183.5	132.142
lcl|CP000514.1_cds_ABM17332.1_224	849	347.268	482.5	288.429
lcl|CP000514.1_cds_ABM17333.1_225	696	209.478	677	670.9
lcl|CP000514.1_cds_ABM17334.1_226	3111	2603.67	2151	171.499
lcl|CP000514.1_cds_ABM17335.1_227	2208	1693.97	1354	165.928
lcl|CP000514.1_cds_ABM17336.1_228	3183	2679.64	1856	143.783
lcl|CP000514.1_cds_ABM17337.1_229	828	327.274	263	166.821
lcl|CP000514.1_cds_ABM17338.1_230	942	438.009	301	142.656
lcl|CP000514.1_cds_ABM17339.1_231	1386	875.317	542	128.541
lcl|CP000514.1_cds_ABM17340.1_232	1986	1480.93	973	136.391
lcl|CP000514.1_cds_ABM17341.1_233	564	112.404	248	458.011
lcl|CP000514.1_cds_ABM17342.1_234	828	327.274	472	299.39
lcl|CP000514.1_cds_ABM17343.1_235	285	38.0429	156	851.252
lcl|CP000514.1_cds_ABM17344.1_236	426	47.9571	200	865.733
lcl|CP000514.1_cds_ABM17345.1_237	351	32.6072	37	235.556
lcl|CP000514.1_cds_ABM17346.1_238	297	37.5361	4	22.1217
lcl|CP000514.1_cds_ABM17347.1_239	240	47.3684	1	4.38246
lcl|CP000514.1_cds_ABM17348.1_240	1404	897.894	591	136.637
lcl|CP000514.1_cds_ABM17349.1_241	636	162.01	323	413.875
lcl|CP000514.1_cds_ABM17350.1_242	219	59	158	555.919
lcl|CP000514.1_cds_ABM17351.1_243	1488	988.872	872	183.056
lcl|CP000514.1_cds_ABM17352.1_244	612	144.604	206	295.729
lcl|CP000514.1_cds_ABM17353.1_245	2673	2180.95	1471	140.014
lcl|CP000514.1_cds_ABM17354.1_246	387	37.1437	15	83.8325
lcl|CP000514.1_cds_ABM17355.1_247	1455	954.373	631	137.252
lcl|CP000514.1_cds_ABM17356.1_248	1413	904.256	808	185.493
lcl|CP000514.1_cds_ABM17357.1_249	933	429.133	425	205.591
lcl|CP000514.1_cds_ABM17358.1_250	678	194.718	140	149.255
lcl|CP000514.1_cds_ABM17359.1_251	783	285.44	303	220.361
lcl|CP000514.1_cds_ABM17360.1_252	654	175.642	261	308.475
lcl|CP000514.1_cds_ABM17361.1_253	1362	854.952	785	190.605
lcl|CP000514.1_cds_ABM17362.1_254	432	49.9302	160	665.217
lcl|CP000514.1_cds_ABM17363.1_255	846	344.401	272	163.95
lcl|CP000514.1_cds_ABM17364.1_256	1128	618.436	599	201.066
lcl|CP000514.1_cds_ABM17365.1_257	1020	512.813	488	197.545
lcl|CP000514.1_cds_ABM17366.1_258	1437	922.442	763	171.709
lcl|CP000514.1_cds_ABM17367.1_259	873	370.481	455	254.949
lcl|CP000514.1_cds_ABM17368.1_260	1575	1068.73	905	175.787
lcl|CP000514.1_cds_ABM17369.1_261	1395	884.155	682	160.126
lcl|CP000514.1_cds_ABM17370.1_262	624	153.164	196	265.648
lcl|CP000514.1_cds_ABM17371.1_263	579	121.876	143	243.571
lcl|CP000514.1_cds_ABM17372.1_264	723	232.105	187	167.249
lcl|CP000514.1_cds_ABM17373.1_265	1878	1377.09	1011	152.404
lcl|CP000514.1_cds_ABM17374.1_266	531	92.3374	147	330.481
lcl|CP000514.1_cds_ABM17375.1_267	624	153.164	73	98.9401
lcl|CP000514.1_cds_ABM17376.1_268	1059	546.358	423	160.72
lcl|CP000514.1_cds_ABM17377.1_269	960	455.666	385	175.396
lcl|CP000514.1_cds_ABM17378.1_270	1065	559.218	624	231.638
lcl|CP000514.1_cds_ABM17379.1_271	1809	1302.12	1090	173.773
lcl|CP000514.1_cds_ABM17380.1_272	891	388.151	260	139.053
lcl|CP000514.1_cds_ABM17381.1_273	972	467.534	333	147.856
lcl|CP000514.1_cds_ABM17382.1_274	795	296.562	275	192.497
lcl|CP000514.1_cds_ABM17383.1_275	1308	801.99	716	185.332
lcl|CP000514.1_cds_ABM17384.1_276	612	144.604	122	175.141
lcl|CP000514.1_cds_ABM17385.1_277	1470	958.187	817	177.002
lcl|CP000514.1_cds_ABM17386.1_278	669	187.646	336	371.712
lcl|CP000514.1_cds_ABM17387.1_279	762	266.211	242	188.71
lcl|CP000514.1_cds_ABM17388.1_280	1749	1232.73	806	135.73
lcl|CP000514.1_cds_ABM17389.1_281	669	187.646	146	161.518
lcl|CP000514.1_cds_ABM17390.1_282	768	271.528	245	187.309
lcl|CP000514.1_cds_ABM17391.1_283	1413	901.209	623	143.506
lcl|CP000514.1_cds_ABM17392.1_284	684	199.76	181	188.095
lcl|CP000514.1_cds_ABM17393.1_285	1548	1039.59	690	137.783
lcl|CP000514.1_cds_ABM17394.1_286	1008	503.303	294	121.262
lcl|CP000514.1_cds_ABM17395.1_287	408	42.7875	86	417.243
lcl|CP000514.1_cds_ABM17396.1_288	762	266.211	306	238.617
lcl|CP000514.1_cds_ABM17397.1_289	2193	1690.43	989	121.452
lcl|CP000514.1_cds_ABM17398.1_290	783	285.44	189	137.453
lcl|CP000514.1_cds_ABM17399.1_291	621	151.116	147	201.936
lcl|CP000514.1_cds_ABM17400.1_292	1515	1004.38	793	163.901
lcl|CP000514.1_cds_ABM17401.1_293	867	364.586	347	197.577
lcl|CP000514.1_cds_ABM17402.1_294	1725	1224.95	838	142.014
lcl|CP000514.1_cds_ABM17403.1_295	660	180.642	190	218.344
lcl|CP000514.1_cds_ABM17404.1_296	2130	1625.46	1230	157.085
lcl|CP000514.1_cds_ABM17405.1_297	534	93.9157	185	408.922
lcl|CP000514.1_cds_ABM17406.1_298	1272	766.909	585	158.35
lcl|CP000514.1_cds_ABM17407.1_299	2589	2087.58	1396	138.819
lcl|CP000514.1_cds_ABM17408.1_300	1350	846.032	828	203.166
lcl|CP000514.1_cds_ABM17409.1_301	2046	1541.03	1384	186.437
lcl|CP000514.1_cds_ABM17410.1_302	3231	2727.49	2060	156.787
lcl|CP000514.1_cds_ABM17411.1_303	447	54.6455	82	311.506
lcl|CP000514.1_cds_ABM17412.1_304	1242	740.381	541	151.687
lcl|CP000514.1_cds_ABM17413.1_305	3153	2658.96	1596	124.603
lcl|CP000514.1_cds_ABM17414.1_306	684	199.76	152	157.958
lcl|CP000514.1_cds_ABM17415.1_307	2262	1747.11	1156	137.355
lcl|CP000514.1_cds_ABM17416.1_308	1083	571.693	416	151.056
lcl|CP000514.1_cds_ABM17417.1_309	1209	701.765	589	174.233
lcl|CP000514.1_cds_ABM17418.1_310	918	414.655	437	218.777
lcl|CP000514.1_cds_ABM17419.1_311	777	280.017	213	157.907
lcl|CP000514.1_cds_ABM17420.1_312	396	38.5958	65	349.607
lcl|CP000514.1_cds_ABM17421.1_313	213	59.3333	1	3.49871
lcl|CP000514.1_cds_ABM17422.1_314	636	162.01	157	201.171
lcl|CP000514.1_cds_ABM17423.1_315	1644	1140.28	721	131.259
lcl|CP000514.1_cds_ABM17424.1_316	492	72.6314	38	108.609
lcl|CP000514.1_cds_ABM17425.1_317	1323	814.624	618	157.484
lcl|CP000514.1_cds_ABM17426.1_318	1113	600.655	552	190.775
lcl|CP000514.1_cds_ABM17427.1_319	1047	534.287	367	142.593
lcl|CP000514.1_cds_ABM17428.1_320	729	237.051	275	240.823
lcl|CP000514.1_cds_ABM17429.1_321	684	199.76	327	339.818
lcl|CP000514.1_cds_ABM17430.1_322	771	274.262	375	283.839
lcl|CP000514.1_cds_ABM17431.1_323	684	199.76	191	198.487
lcl|CP000514.1_cds_ABM17432.1_324	462	59.8438	98	339.949
lcl|CP000514.1_cds_ABM17433.1_325	426	47.9571	89	385.251
lcl|CP000514.1_cds_ABM17434.1_326	1347	836.322	765	189.887
lcl|CP000514.1_cds_ABM17435.1_327	801	301.867	427	293.643
lcl|CP000514.1_cds_ABM17436.1_328	957	452.753	443	203.118
lcl|CP000514.1_cds_ABM17437.1_329	453	56.8571	115	419.875
lcl|CP000514.1_cds_ABM17438.1_330	381	37.2612	59	328.702
lcl|CP000514.1_cds_ABM17439.1_331	897	393.926	354	186.55
lcl|CP000514.1_cds_ABM17440.1_332	258	43.7742	0	0
lcl|CP000514.1_cds_ABM17441.1_333	882	379.408	328	179.463
lcl|CP000514.1_cds_ABM17442.1_334	774	277.208	252	188.713
lcl|CP000514.1_cds_ABM17443.1_335	1338	831.119	701	175.09
lcl|CP000514.1_cds_ABM17444.1_336	1677	1171.17	879	155.804
lcl|CP000514.1_cds_ABM17445.1_337	1086	579.44	511	183.071
lcl|CP000514.1_cds_ABM17446.1_338	1122	615.322	454	153.165
lcl|CP000514.1_cds_ABM17447.1_339	858	355.93	234	136.476
lcl|CP000514.1_cds_ABM17448.1_340	771	274.262	198	149.867
lcl|CP000514.1_cds_ABM17449.1_341	1041	539.612	414	159.267
lcl|CP000514.1_cds_ABM17450.1_342	1074	568.199	440	160.753
lcl|CP000514.1_cds_ABM17451.1_343	1095	579.409	335	120.024
lcl|CP000514.1_cds_ABM17452.1_344	861	358.724	244	141.2
lcl|CP000514.1_cds_ABM17453.1_345	849	347.268	432	258.241
lcl|CP000514.1_cds_ABM17454.1_346	1572	1068.39	934	181.478
lcl|CP000514.1_cds_ABM17455.1_347	1413	906.701	679	155.458
lcl|CP000514.1_cds_ABM17456.1_348	444	53.5961	100	387.323
lcl|CP000514.1_cds_ABM17457.1_349	1287	778.524	615	163.987
lcl|CP000514.1_cds_ABM17458.1_350	594	132.169	188	295.28
lcl|CP000514.1_cds_ABM17459.1_351	1029	522.364	534	212.214
lcl|CP000514.1_cds_ABM17460.1_352	540	97.2824	176	375.565
lcl|CP000514.1_cds_ABM17461.1_353	1020	521.016	465	185.271
lcl|CP000514.1_cds_ABM17462.1_354	1824	1323.21	875	137.274
lcl|CP000514.1_cds_ABM17463.1_355	2481	2004.76	1403	145.279
lcl|CP000514.1_cds_ABM17464.1_356	549	102.851	246	496.515
lcl|CP000514.1_cds_ABM17465.1_357	1182	682.818	462	140.457
lcl|CP000514.1_cds_ABM17466.1_358	759	263.523	223	175.668
lcl|CP000514.1_cds_ABM17467.1_359	786	288.272	412	296.689
lcl|CP000514.1_cds_ABM17468.1_360	1692	1179.83	870	153.076
lcl|CP000514.1_cds_ABM17469.1_361	828	327.274	255	161.747
lcl|CP000514.1_cds_ABM17470.1_362	1443	931.186	609	135.765
lcl|CP000514.1_cds_ABM17471.1_363	672	190.015	102	111.434
lcl|CP000514.1_cds_ABM17472.1_364	1398	894.873	596	138.258
lcl|CP000514.1_cds_ABM17473.1_365	288	38.4	1	5.40599
lcl|CP000514.1_cds_ABM17474.1_366	1158	656.159	439	138.887
lcl|CP000514.1_cds_ABM17475.1_367	1518	1013.81	728	149.067
lcl|CP000514.1_cds_ABM17476.1_368	786	288.272	338	243.4
lcl|CP000514.1_cds_ABM17477.1_369	1050	540.668	573	220.004
lcl|CP000514.1_cds_ABM17478.1_370	546	101.132	181	371.531
lcl|CP000514.1_cds_ABM17479.1_371	966	461.622	346	155.595
lcl|CP000514.1_cds_ABM17480.1_372	462	59.8438	160	555.019
lcl|CP000514.1_cds_ABM17481.1_373	1620	1102.03	746	140.524
lcl|CP000514.1_cds_ABM17482.1_374	600	136.427	216	328.67
lcl|CP000514.1_cds_ABM17483.1_375	1266	762.979	691	188.006
lcl|CP000514.1_cds_ABM17484.1_376	867	364.586	408	232.309
