target_id	length	eff_length	est_counts	tpm	sid	run
lcl|CP000514.1_cds_ABM17129.1_21	525	373.679	739.0	299.275	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17130.1_22	252	103.0	283.0	415.79	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17131.1_23	1335	1190.88	1690.0	214.754	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17132.1_24	714	567.035	963.0	257.005	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17133.1_25	741	589.669	899.572	230.862	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17134.1_26	1539	1380.15	1622.82	177.938	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17135.1_27	1440	1305.87	1928.0	223.425	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17136.1_28	2256	2116.44	2590.0	185.19	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17137.1_29	816	663.967	945.0	215.382	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17138.1_30	1308	1180.37	1571.0	201.411	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17139.1_31	1620	1456.84	2260.0	234.759	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17140.1_32	1641	1491.19	2102.0	213.317	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17141.1_33	288	139.0	363.0	395.2	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17142.1_34	753	607.404	876.0	218.248	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17143.1_35	1053	918.749	1303.0	214.621	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17144.1_36	1446	1289.18	2070.0	242.986	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17145.1_37	2082	1914.92	2724.0	215.269	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17146.1_38	1095	931.078	1378.0	223.969	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17147.1_39	1404	1246.12	1613.0	195.885	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17148.1_40	1302	1142.86	1600.0	211.862	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17149.1_41	936	781.129	1223.0	236.935	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17150.1_42	504	351.158	777.0	334.845	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17151.1_43	1017	861.7	1178.0	206.878	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17152.1_44	1218	1053.63	1522.0	218.6	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17153.1_45	573	416.985	659.0	239.16	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17154.1_46	927	772.713	1047.0	205.047	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17155.1_47	828	666.691	797.0	180.908	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17156.1_48	774	614.675	945.0	232.654	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17157.1_49	834	679.927	867.0	192.966	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17158.1_50	318	166.473	342.0	310.891	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17159.1_51	456	304.682	601.0	298.506	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17160.1_52	540	384.801	711.0	279.613	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17161.1_53	2046	1888.61	2889.0	231.489	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17162.1_54	252	103.0	369.0	542.143	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17163.1_55	1323	1154.01	1863.0	244.303	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17164.1_56	231	82.002	390.0	719.722	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17165.1_57	1698	1538.38	1878.0	184.738	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17166.1_58	387	230.695	499.0	327.331	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17167.1_59	687	535.98	951.0	268.508	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17168.1_60	1347	1173.31	1972.0	254.342	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17169.1_61	1125	965.264	1437.0	225.287	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17170.1_62	1584	1411.28	2123.0	227.646	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17171.1_63	597	440.965	758.0	260.13	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17172.1_64	888	726.61	1010.0	210.351	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17173.1_65	204	55.1953	236.0	647.046	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17174.1_66	750	593.933	942.0	240.015	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17175.1_67	642	481.666	749.0	235.321	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17176.1_68	1107	946.441	1384.0	221.293	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17177.1_69	921	751.845	1184.0	238.313	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17178.1_70	657	502.299	849.0	255.782	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17179.1_71	1203	1037.47	1569.0	228.862	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17180.1_72	2475	2297.15	3173.0	209.029	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17181.1_73	879	714.255	1040.0	220.346	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17182.1_74	366	209.364	564.0	407.663	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17183.1_75	819	657.458	1240.0	285.416	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17184.1_76	1176	1024.15	1522.0	224.893	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17185.1_77	1203	1035.8	1591.0	232.445	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17186.1_78	396	242.272	539.0	336.674	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17187.1_79	1431	1268.19	1774.0	211.687	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17188.1_80	1413	1244.26	1906.0	231.812	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17189.1_81	363	210.91	509.0	365.212	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17190.1_82	2103	1937.0	2639.0	206.174	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17191.1_83	1413	1250.67	2017.0	244.054	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17192.1_84	1053	897.522	1449.0	244.314	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17193.1_85	639	482.611	781.0	244.894	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17194.1_86	1365	1200.95	1527.0	192.415	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17195.1_87	780	623.357	984.0	238.882	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17196.1_88	1989	1827.93	2604.0	215.579	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17197.1_89	2244	2076.22	3087.0	225.003	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17198.1_90	1194	1030.98	1359.0	199.478	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17199.1_91	471	315.439	626.0	300.32	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17200.1_92	1305	1143.58	1666.0	220.461	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17201.1_93	1410	1245.53	1718.0	208.735	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17202.1_94	390	233.697	507.0	328.306	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17203.1_95	1224	1070.29	1630.0	230.467	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17204.1_96	1287	1126.53	1625.0	218.291	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17205.1_97	303	154.0	371.0	364.567	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17206.1_98	1005	856.177	1296.0	229.069	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17207.1_99	3549	3390.07	4383.0	195.654	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17208.1_100	546	389.563	567.0	220.257	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17209.1_101	414	259.046	525.0	306.695	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17210.1_102	273	124.0	375.0	457.651	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17211.1_103	315	161.685	314.0	293.891	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17212.1_104	513	360.038	639.0	268.582	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17213.1_105	666	513.02	864.0	254.862	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17214.1_106	657	500.793	743.0	224.52	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17215.1_107	1044	881.378	1440.0	247.244	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17216.1_108	891	734.302	1159.0	238.855	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17217.1_109	1761	1606.98	2265.0	213.296	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17218.1_110	981	828.491	1358.0	248.049	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17219.1_111	1284	1125.46	1608.0	216.213	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17220.1_112	426	272.545	458.0	254.303	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17221.1_113	1392	1224.5	1624.0	200.701	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17222.1_114	570	412.544	829.0	304.095	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17223.1_115	1050	894.681	1432.0	242.214	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17224.1_116	753	602.019	857.0	215.425	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17225.1_117	1467	1305.53	1640.0	190.1	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17226.1_118	792	639.174	970.0	229.656	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17227.1_119	282	133.0	417.0	474.47	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17228.1_120	558	402.434	797.0	299.701	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17229.1_121	1713	1543.13	2338.0	229.281	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17230.1_122	1329	1178.64	1594.0	204.659	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17231.1_123	666	519.668	842.0	245.194	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17232.1_124	534	382.377	740.0	292.863	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17233.1_125	1710	1563.98	2159.0	208.904	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17234.1_126	741	590.527	837.0	214.492	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17235.1_127	354	201.185	441.0	331.717	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17236.1_128	1356	1198.13	1480.0	186.931	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17237.1_129	228	79.0036	184.0	352.449	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17238.1_130	2361	2199.09	2950.0	203.004	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17239.1_131	333	183.209	470.0	388.218	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17240.1_132	285	136.0	421.0	468.455	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17241.1_133	1320	1171.94	1745.0	225.328	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17242.1_134	1368	1216.6	1684.0	209.468	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17243.1_135	3123	2968.79	3511.0	178.968	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17244.1_136	909	750.036	1194.0	240.906	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17245.1_137	444	287.032	583.0	307.371	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17246.1_138	801	642.204	892.0	210.192	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17247.1_139	1311	1153.61	1602.0	210.149	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17248.1_140	627	472.995	939.0	300.423	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17249.1_141	852	697.678	1108.0	240.331	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17250.1_142	609	453.695	868.0	289.521	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17251.1_143	1191	1040.31	1607.0	233.764	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17252.1_144	2241	2084.0	2834.0	205.791	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17253.1_145	924	768.133	955.0	188.145	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17254.1_146	516	357.725	713.0	301.624	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17255.1_147	1269	1111.06	1691.0	230.32	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17256.1_148	1458	1304.5	1936.0	224.588	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17257.1_149	993	835.293	1291.0	233.89	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17258.1_150	456	301.237	485.0	243.645	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17259.1_151	306	151.562	371.0	370.431	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17260.1_152	585	430.065	732.0	257.574	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17261.1_153	672	518.916	815.0	237.676	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17262.1_154	636	482.997	842.0	263.811	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17263.1_155	2853	2689.78	3818.0	214.805	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17264.1_156	606	450.272	890.0	299.116	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17265.1_157	816	656.862	1201.0	276.69	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17266.1_158	1107	949.557	1442.0	229.81	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17267.1_159	777	623.819	936.0	227.061	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17268.1_160	1071	910.465	1429.0	237.517	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17269.1_161	2271	2106.28	3117.52	223.985	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17270.1_162	1302	1142.9	2046.31	270.949	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17271.1_163	387	232.81	812.943	528.425	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17272.1_164	894	735.545	1110.0	228.37	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17273.1_165	1107	950.024	1669.0	265.856	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17274.1_166	408	257.53	555.0	326.129	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17275.1_167	1368	1203.31	1809.0	227.502	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17276.1_168	1878	1712.79	2605.0	230.159	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17277.1_169	666	515.193	821.0	241.156	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17278.1_170	369	215.334	466.0	327.49	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17279.1_171	2514	2329.86	3132.0	203.431	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17280.1_172	1269	1112.17	1729.0	235.261	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17281.1_173	1299	1136.04	1690.0	225.122	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17282.1_174	861	699.064	1055.0	228.381	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17283.1_175	993	832.853	1254.0	227.853	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17284.1_176	1365	1217.42	1746.0	217.035	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17285.1_177	2676	2500.58	3506.0	212.176	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17286.1_178	663	507.105	833.0	248.583	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17287.1_179	519	363.891	760.0	316.058	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17288.1_180	1740	1583.83	2132.0	203.706	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17289.1_181	849	694.16	1018.0	221.928	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17290.1_182	756	598.724	981.0	247.952	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17291.1_183	411	256.221	375.0	221.484	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17292.1_184	396	241.869	361.0	225.866	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17293.1_185	798	644.22	990.0	232.555	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17294.1_186	2355	2205.02	2854.0	195.869	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17295.1_187	594	436.212	697.0	241.802	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17296.1_188	1119	988.449	1313.0	201.018	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17297.1_189	2097	1994.77	2512.0	190.569	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17298.1_190	1707	1606.38	2018.0	190.106	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17299.1_191	756	594.682	662.495	168.586	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17300.1_192	1545	1382.95	1637.75	179.212	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17301.1_193	441	290.539	713.0	371.373	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17302.1_194	528	379.798	820.0	326.727	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17303.1_195	1290	1145.64	1579.0	208.573	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17304.1_196	585	440.313	875.0	300.726	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17305.1_197	684	529.001	785.0	224.563	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17306.1_198	633	478.558	791.0	250.13	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17307.1_199	321	170.958	374.0	331.06	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17308.1_200	240	91.0003	205.0	340.907	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17309.1_201	468	316.078	376.0	180.019	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17310.1_202	243	94.0001	143.0	230.214	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17311.1_203	459	306.951	475.0	234.18	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17312.1_204	438	286.3	483.0	255.3	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17313.1_205	378	224.744	373.0	251.157	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17314.1_206	243	94.0001	234.0	376.714	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17315.1_207	1380	1243.4	1895.5	230.695	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17316.1_208	3822	3713.86	4574.5	186.398	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17317.1_209	636	492.957	722.0	221.642	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17318.1_210	267	118.0	368.5	472.585	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17319.1_211	735	578.935	1024.5	267.798	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17320.1_212	948	789.777	1239.5	237.502	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17321.1_213	822	657.818	944.0	217.165	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17322.1_214	1026	868.233	1360.0	237.043	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17323.1_215	492	336.177	624.5	281.119	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17324.1_216	579	425.625	598.0	212.617	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17325.1_217	1140	981.036	1391.0	214.569	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17326.1_218	900	746.091	823.0	166.929	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17327.1_219	831	671.68	1004.0	226.202	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17328.1_220	762	603.31	878.5	220.357	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17329.1_221	1149	984.704	1487.0	228.523	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17330.1_222	570	412.586	620.5	227.59	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17331.1_223	786	628.097	857.0	206.48	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17332.1_224	849	687.528	1031.0	226.931	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17333.1_225	696	548.87	978.0	269.646	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17334.1_226	3111	3047.73	4128.0	204.969	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17335.1_227	2208	2102.94	2869.0	206.457	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17336.1_228	3183	3051.48	4028.0	199.758	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17337.1_229	828	687.365	943.0	207.61	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17338.1_230	942	785.561	1037.0	199.767	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17339.1_231	1386	1254.99	1559.0	187.988	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17340.1_232	1986	1839.19	2436.0	200.436	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17341.1_233	564	414.36	740.0	270.258	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17342.1_234	828	670.327	1100.0	248.331	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17343.1_235	285	136.0	770.0	856.794	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17344.1_236	426	272.732	619.0	343.463	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17345.1_237	351	197.725	472.0	361.248	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17346.1_238	297	148.0	334.0	341.515	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17347.1_239	240	91.0003	229.0	380.818	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17348.1_240	1404	1243.78	1639.0	199.415	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17349.1_241	636	479.521	726.0	229.115	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17350.1_242	219	70.019	334.0	721.864	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17351.1_243	1488	1325.04	1944.0	222.02	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17352.1_244	612	459.064	827.0	272.62	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17353.1_245	2673	2533.6	3436.0	205.23	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17354.1_246	387	235.575	391.0	251.173	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17355.1_247	1455	1308.86	1695.0	195.976	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17356.1_248	1413	1251.93	1785.0	215.765	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17357.1_249	933	771.06	1050.0	206.075	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17358.1_250	678	519.781	713.0	207.584	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17359.1_251	783	627.915	1020.0	245.824	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17360.1_252	654	502.177	776.0	233.846	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17361.1_253	1362	1194.87	1690.0	214.038	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17362.1_254	432	275.02	594.0	326.849	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17363.1_255	846	692.539	973.0	212.615	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17364.1_256	1128	969.779	1420.0	221.585	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17365.1_257	1020	859.259	1176.0	207.113	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17366.1_258	1437	1267.83	1867.0	222.848	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17367.1_259	873	718.022	1149.0	242.162	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17368.1_260	1575	1415.51	2030.0	217.025	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17369.1_261	1395	1228.5	1690.0	208.178	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17370.1_262	624	474.056	808.0	257.932	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17371.1_263	579	416.807	732.0	265.767	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17372.1_264	723	566.327	818.0	218.58	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17373.1_265	1878	1723.4	2390.0	209.864	Sample_77304	Run_1768
lcl|CP000514.1_cds_ABM17374.1_266	531	373.326	656.0	265.914	Sample_77304	Run_1768
